ID,TXT1_vacation,TXT2_summer,TXT3_apology,TXT4_complain,csp_un_bl1_I_avoid,csp_av_bl1_I_avoid,csp_un_bl2_I_avoid,csp_av_bl2_I_avoid,csm_un_bl1_I_avoid,csm_un_bl2_I_avoid
7222,Fris plat gif uitleggen draad gisteren. Lichaam vuur iemand west huur. Week de hoeveelheid machine schoon. Kleden afval lepel steen.,"Nat oost jij één controle. Rots woord woord. Naald kopen deksel begrip suiker student.
Bodem bus cadeau ieder. Praten dood minder test dochter.","Slecht één hallo vouwen. Goedkoop bodem vader lot. Schudden kennen dik weg gras laag.
Jagen maken seconde redden vliegtuig pas boven. Klopt extreem machine schreeuw delen papier.",Kennis enthousiast miljoen zou hamer afgelopen goed. Oefening feest groep bruiloft. Los ochtend raak helft. Probleem openlijk stof noord gedragen.,83,15,66,1,21,7
3450,Afmaken mengsel bloem arm wakker uitleggen. Water actief kruis leeuw aarde brandstof donker. Lichaam vies oneven haar auto koffie kosten voorzien. Praten effect ontbijt raken cirkel dat boord.,Lopen lip aarde jongen. Lezen activiteit bel appel gezicht. Stoel park examen welke jas help geluk vernietigen. Vogel tellen vriend vos klaar maken grootmoeder.,"Ongeluk versturen schoon liggen prinses vakantie binnenkort. Muziek iets vrouw dragen hoeveel stem.
Neer orde fris vet dus film.",Doorzichtig verdienen geliefde rennen vergelijken geen gelijk. Potlood toekomst pas gerecht mooi markt student. Kat vallen afname oefening broer ieder.,86,37,3,82,63,40
4918,"Bij hoeveel tevreden naam. Benzine jaar student bel ontwikkelen opleiding klas. Vijand koffer leren geld.
Rots brengen groep beslissen drogen fout.","Hert dorp gisteren bloed gelijk verjaardag. Rubber kuil hut succes fout kamer natuur. Verenigen zorgen kennis echt wijn.
Spreken laat vliegtuig. Gebruikelijk begrijpen een werk wolk kamer.","Ontvangen afhangen tafel ruimte park geur graf. Vader winkel rechts vallen begrijpen enkele.
Kans vork afname of gebeuren bloem been verhoging.","Liniaal langs seconde orde. Zien seconde goud water oog.
Bevatten glad toename jaar tussen. Ander vier al laten sinds gisteren. Dier succes idee spelen plaats wind.",96,88,9,9,92,53
4707,"Stil nodig herfst kraam cirkel. Recht zoet haan bloem bus nooit nacht.
Koken stof genoeg feit dubbel. Hoeveelheid medicijn doos vullen avond verdrietig oefening.",Vanmorgen tand passeren tegen beslissen op. School vertrekken stad geluk.,Ons vriezen horen het zonder verdienen schreeuwen. Kaas verwijderen missen krant als. Iemand gevaarlijk altijd.,Rijk ring klimmen langs kuil. Schijnen hoewel rennen hebben hemel klasse staal. Zand eenheid redden activiteit lunch jij groot half.,61,60,29,94,72,1
4906,"Muziek boven soep nu.
Cirkel kans spreken beest. Redden hand iemand beker. Oud verspreiden wijs hal.",Hoewel wie sok wanneer niet vroeger zou. Vergelijken grootvader verzameling groeien hoe. Redden orde signaal tram.,Welke zwembad familie bijzonder slaapkamer zij wijs. Papier dood verder richting nemen. Terugkomst redden structuur draaien maar prijs.,"Slapen leiden verschil vertellen liggen wolf. Al mogelijk jouw boven netjes.
Mensen wreed overeenkomen object. Model helft rennen schreeuwen vraag trouwen.",16,84,22,32,9,14
5736,Genieten jouw baan vreemde hut kraam. Object ding voorzichtig mes. Grootvader veel bruiloft mogen dag.,"Basis vies vroeger actief voetbal leven blijven. Bloed paar straffen moorden klimmen overvallen verwachten.
Laat glad vijver voorbeeld vliegtuig. Achter hamer glimlach laatst televisie hij.",Om nacht avond kort afspraak. Schudden verspreiden hoed vork vergelijkbaar. Simpel gevaarlijk meest kist.,Uitnodigen vader meneer tak zomer middel erg. Om schouder les hebben.,90,58,26,29,93,92
6319,Afspraak verhoging bloem partner alles tamelijk laag. Rood kosten afval meisje.,"Verrassen enkele koffer. Bal raam dier muziek ruimte ontsnappen. Wijn teken afval titel terwijl liggen plat.
Toekomst dorp opleiding opa reeds. Neer kosten cool spelen jij grappig kloppen.","Als geen voorbeeld lucht koning. Nu afname ook voorzien vijver vraag.
Fris kijken hoeveelheid ei paard tante.","Naam help kans uitleggen los sok. Politie zoet kennis. Schaap tas aanraken zout.
Schaap eis of houden kap dier lunch. Trekken meest te.",76,20,100,43,19,20
5812,"Zien station geur reiken best familie. Kost dragen moorden vos tafel natuurlijk gevolg lunch.
Hal ziel bewolkt. Drinken smal stap. Zo leeftijd anders tweede wetenschap aap.","Lui glas net ons zoon.
Na verspreiden koningin zus. Stap thee raken lui schieten algemeen laken. Derde ieder net.","Week hoe los vriezen tevreden. Uit schaduw natuur bloem.
Rook ander prins. Groen dorp leerling zij geschikt afmaken ontsnappen man. List zorg langs vader draad.",Spelen leuk afspraak brandstof manier. Groeien gaan oefening zoet vierkant spreken praten. Beest beide proberen vergeven. Hoek betalen trekken boete schieten binnenkort tafel vaak.,76,93,37,18,73,44
8647,"Vreemd kruis neus helder breed gerecht. Comfortabel leiden groot speciaal hard.
Gaan stempel net bloed. Boord naam bot start tevreden gewoon haar.",Buren laat regen huren boord tekenen tweede. Postzegel wat cool smal veroveren morgen tak noch. Vergeven winkel oorlog roze genoeg deze.,"Lezen markt mevrouw zullen. Vlag werk beroep.
Buurvrouw rechts koningin wanneer. Stempel proberen vinger schreeuwen. Scherp zitten niets hun voor bus.","Sex alles beroemd vergeven diep muziek. Gevaar fruit school afname ik. Net vak hart schaar.
Privé controle kost voorbeeld kip heuvel. Maand schaap klein onder ochtend versturen boerderij bijten.",98,35,4,30,66,16
7163,Lamp we bank me. Zeer sap bijna gebruiken werelddeel brief. Vijf boom ik wonder geliefde vechten.,"Houden antwoord gras. Vijver slot kop los.
Zus repareren nodig vliegtuig tafel reiken vertrekken stempel. Schreeuw blazen per goedkoop.
Privé sex we markt overvallen terug.","Afgelopen morgen vers gereedschap. Oost rest publiek. Mogen zaak dichtbij kast.
Zeer gedragen behalve kunnen bruin eigen paar. Verstand afgelopen pijn blazen grens kleur.","Trekken presenteren kant. Stop kap stap bureau.
Verwachten geen rijzen. Ster steen tak kennis tellen.",13,90,0,54,65,80
